title,author,binding,isbn,publisher,publication_date,categories,url,length,width,height,sales_price,stock_quantity
FAMILY REUNION,"Thayer, Nancy",Hardcover,9781520000000.0,Ballantine Books,,"['Fiction', 'Contemporary', 'Fiction', 'Sagas', 'Fiction', 'Romance']",https://www.bookdepot.com/Store/Details/9781524798789B/family-reunion,10.0,6.5,1.0,1.75,36
FAMOUS FOR A LIVING,"Ferguson, Melissa",Paperback,9780840000000.0,Thomas Nelson,,"['Fiction', 'Romance', 'Fiction', 'Humorous']",https://www.bookdepot.com/Store/Details/9780840702487B/famous-for-a-living,8.41,5.55,0.85,3.0,3
FANCY PANTS,"Phillips, Susan Elizabeth",Paperback,9781980000000.0,Pocket Books,,"['Fiction', 'Romance', 'Fiction', 'Contemporary']",https://www.bookdepot.com/Store/Details/9781982178611B/fancy-pants,6.99,4.78,1.46,1.75,26
FAR HARBOR (COLDWATER COVE),"Ross, JoAnn",Paperback,9781980000000.0,Pocket Books,,"['Fiction', 'Romance', 'Fiction', 'Contemporary']",https://www.bookdepot.com/Store/Details/9781982172169B/far-harbor-coldwater-cove,6.99,4.72,1.13,1.12,9
FAR SIDE OF THE SEA,"Breslin, Kate",Paperback,9780760000000.0,Bethany House,,"['Fiction', 'Romance', 'Fiction', 'Historical', 'Fiction', 'Romance']",https://www.bookdepot.com/Store/Details/9780764217821B/far-side-of-the-sea,8.5,5.5,1.0,2.5,2
THE FARM STAND (AN AMISH MARKETPLACE BK. .L),"Clipston, Amy",Paperback,9780310000000.0,Zondervan,,"['Fiction', 'Religious', 'Fiction', 'Romance']",https://www.bookdepot.com/Store/Details/9780310366652B/the-farm-stand-an-amish-marketplace-bk-l,7.46,4.76,1.03,1.75,3
"THE FARM STAND (AN AMISH MARKETPLACE, BK. 2)","Clipston, Amy",Paperback,9780310000000.0,Zondervan,,"['Fiction', 'Romance', 'Fiction', 'Religious']",https://www.bookdepot.com/Store/Details/9780310356479B/the-farm-stand-an-amish-marketplace-bk-2,8.39,5.5,0.92,2.75,14
THE FASTEST WAY TO FALL,"Williams, Denise",Paperback,9780590000000.0,Berkley Hardcover,,"['Fiction', 'Romance', 'Fiction', 'Contemporary', 'Fiction', ""Women's Fiction""]",https://www.bookdepot.com/Store/Details/9780593101926B/the-fastest-way-to-fall,8.2,5.48,1.29,2.75,2
FAT TUESDAY,"Brown, Sandra",Pocket Books,9781540000000.0,Grand Central Publishing,,"['Fiction', 'Mystery & Detective', 'Fiction', 'Thrillers', 'Fiction', 'Romance']",https://www.bookdepot.com/Store/Details/9781538712672B/fat-tuesday,6.71,4.19,1.08,1.69,408
"A FATAL ILLUSION (A LADY DARBY MYSTERY, BK. 11)","Huber, Anna Lee",Paperback,9780590000000.0,Berkley Publishing Group,,"['Fiction', 'Mystery & Detective', 'Fiction', 'Romance', 'Fiction', 'Historical']",https://www.bookdepot.com/Store/Details/9780593198483B/a-fatal-illusion-a-lady-darby-mystery-bk-11,7.96,5.14,1.12,3.0,98
"FATAL WITNESS (PEARL RIVER, BK. 2)","Bradley, Patricia",Paperback,9780800000000.0,Revell,,"['Fiction', 'Romance', 'Fiction', 'Suspense']",https://www.bookdepot.com/Store/Details/9780800741631B/fatal-witness-pearl-river-bk-2,8.5,5.54,1.18,3.0,176
FEAR OF FLYING,"Jong, Erica",Paperback,9780450000000.0,New American Library,,"['Fiction', 'Romance', 'Fiction', 'Literary']",https://www.bookdepot.com/Store/Details/9780451209436B/fear-of-flying,8.06,5.27,1.06,2.75,7
FEARLESS FOURTEEN & FINGER LICKIN' FIFTEEN: TWO NOVELS IN ONE (STEPHANIE PLUM NOVELS),"Evanovich, Janet",Pocket Books,9781250000000.0,St. Martin's Griffin,,"['Fiction', 'Mystery & Detective', 'Fiction', 'Romance', 'Fiction', 'Humorous']",https://www.bookdepot.com/Store/Details/9781250620798B/fearless-fourteen-finger-lickin-fifteen-two-n,7.44,4.07,1.47,1.87,21
THE FEAST OF ROSES,"Sundaresan, Indu",Paperback,9780740000000.0,Washington Square Press,,"['Fiction', 'Romance']",https://www.bookdepot.com/Store/Details/9780743456418B/the-feast-of-roses,8.21,5.31,1.13,3.0,12
FEVER DREAMS,"Jordan, Nicole",Pocket Books,9780350000000.0,Ballantine Books,,"['Fiction', 'Romance']",https://www.bookdepot.com/Store/Details/9780345467874B/fever-dreams,6.8,4.1,1.3,1.75,1
"FIELDS OF BOUNTY (LEAH'S GARDEN, BK. 3 - LARGE PRINT EDITION)","Snelling, Lauraine",Paperback,9780760000000.0,Bethany House,,"['Fiction', 'Religious', 'Fiction', 'Romance', 'Fiction', 'Historical']",https://www.bookdepot.com/Store/Details/9780764235771B/fields-of-bounty-leahs-garden-bk-3---large-pr,8.49,5.55,1.22,4.25,16
"FIELDS OF BOUNTY (LEAH'S GARDEN, BK. 3)","Snelling, Lauraine",Hardcover,9780760000000.0,Bethany House,,"['Fiction', 'Romance', 'Fiction', 'Historical', 'Fiction', 'Religious']",https://www.bookdepot.com/Store/Details/9780764235764B/fields-of-bounty-leahs-garden-bk-3,8.77,5.69,1.22,2.63,71
"FIELDS OF BOUNTY (LEAH'S GARDEN, BK. 3)","Snelling, Lauraine",Paperback,9780760000000.0,Bethany House,,"['Fiction', 'Romance', 'Fiction', 'Historical', 'Fiction', 'Religious']",https://www.bookdepot.com/Store/Details/9780764235757B/fields-of-bounty-leahs-garden-bk-3,8.48,5.5,1.01,3.0,27
"THE FINDERS KEEPERS LIBRARY (LOVE IN BLOOM, BK. 1)","Rains, Annie",Paperback,9781540000000.0,Forever,,"['Fiction', 'Romance', 'Fiction', 'Contemporary', 'Fiction', ""Women's Fiction""]",https://www.bookdepot.com/Store/Details/9781538710111B/the-finders-keepers-library-love-in-bloom-bk,8.02,5.22,1.02,3.0,69
FINDING ASHLEY,"Steel, Danielle",Hardcover,9781980000000.0,Delacorte Press,,"['Fiction', 'Contemporary', 'Fiction', 'Romance', 'Fiction', 'Family Life']",https://www.bookdepot.com/Store/Details/9781984821461B/finding-ashley,9.57,6.42,1.12,1.88,1000
FINDING COLIN FIRTH,"March, Mia",Paperback,9781450000000.0,Pan Macmillan,,"['Fiction', 'Romance', 'Fiction', 'Contemporary']",https://www.bookdepot.com/Store/Details/9781447254072B/finding-colin-firth,8.0,5.5,1.0,2.0,6
"FINDING MR. PURRFECT (MEOW AND FUREVER CAT CAFE, BK. 2)","Gary, Codi",Paperback,9781540000000.0,Forever,,"['Fiction', 'Romance', 'Fiction', 'Contemporary', 'Fiction', ""Women's Fiction""]",https://www.bookdepot.com/Store/Details/9781538708187B/finding-mr-purrfect-meow-and-furever-cat-cafe,7.93,5.18,1.16,3.0,271
"FINDING PARADISE (A PARADISE, ALASKA ROMANCE, BK. 2)","Dunlop, Barbara",Pocket Books,9780590000000.0,Berkley Publishing Group,,"['Fiction', 'Romance', 'Fiction', 'Contemporary']",https://www.bookdepot.com/Store/Details/9780593332986B/finding-paradise-a-paradise-alaska-romance-bk,6.77,4.1,0.92,1.37,85
"FINDING US (PICTURES OF THE HEART, BK. 2 - LARGE PRINT)","Peterson, Tracie",Paperback,9780760000000.0,Bethany House,,"['Fiction', 'Historical', 'Fiction', 'Romance', 'Fiction', 'Romance']",https://www.bookdepot.com/Store/Details/9780764237430B/finding-us-pictures-of-the-heart-bk-2---large,8.54,5.62,1.16,4.0,44
"FINDING US (PICTURES OF THE HEART, BK. 2)","Peterson, Tracie",Hardcover,9780760000000.0,Bethany House,,"['Fiction', 'Historical', 'Fiction', 'Religious', 'Fiction', 'Romance']",https://www.bookdepot.com/Store/Details/9780764237423B/finding-us-pictures-of-the-heart-bk-2,8.9,5.76,1.17,4.0,7
"FINDING US (PICTURES OF THE HEART, BK. 2)","Peterson, Tracie",Paperback,9780760000000.0,Bethany House,,"['Fiction', 'Historical', 'Fiction', 'Religious', 'Fiction', 'Romance']",https://www.bookdepot.com/Store/Details/9780764237416B/finding-us-pictures-of-the-heart-bk-2,8.51,5.63,0.94,3.0,49
"FIRE BOUND (SEA HAVEN, BK. 5)","Feehan, Christine",Paperback,9780350000000.0,Piatkus Books,,"['Fiction', 'Fantasy', 'Fiction', 'Romance']",https://www.bookdepot.com/Store/Details/9780349410326B/fire-bound-sea-haven-bk-5,8.0,5.5,1.0,1.75,1
"FIRST BRIDE TO FALL (MAJESTIC MAINE, BK. 1)","Baird, Ginny",Pocket Books,9781650000000.0,"Entangled Publishing, LLC",,"['Fiction', 'Contemporary', 'Fiction', 'Romance']",https://www.bookdepot.com/Store/Details/9781649372109B/first-bride-to-fall-majestic-maine-bk-1,6.75,4.09,1.12,1.13,61
"FIRST KISS WITH A COWBOY (SILVERADO LAKE, BK. 1)","Richardson, Sara",Pocket Books,9781540000000.0,Forever,,"['Fiction', 'Romance', 'Fiction', 'Sagas', 'Fiction', 'Romance']",https://www.bookdepot.com/Store/Details/9781538717158B/first-kiss-with-a-cowboy-silverado-lake-bk-1,6.76,4.15,1.16,1.5,370
FIRST STAR I SEE TONIGHT (CHICAGO STARS),"Phillips, Susan Elizabeth",Pocket Books,9780060000000.0,Avon Books,,"['Fiction', 'Romance', 'Fiction', 'Contemporary']",https://www.bookdepot.com/Store/Details/9780062561404B/first-star-i-see-tonight-chicago-stars,6.77,4.1,1.16,1.12,34
FIT TO BE TIED (SISTERS OF BETHLEHEM SPRINGS),"Hatcher, Robin Lee",Paperback,9780310000000.0,Zondervan,,"['Fiction', 'Romance', 'Fiction', 'Westerns', 'Fiction', 'Historical']",https://www.bookdepot.com/Store/Details/9780310258063B/fit-to-be-tied-sisters-of-bethlehem-springs,8.48,5.42,0.75,2.25,1
THE FIVE DEATHS OF ROXANNE LOVE,"Quinn, Erin",Pocket Books,9781480000000.0,Pocket Books,,"['Fiction', 'Romance']",https://www.bookdepot.com/Store/Details/9781476727479B/the-five-deaths-of-roxanne-love,6.71,4.13,1.15,2.0,15
THE FIXER UPPER,"Forsythe, Lauren",Paperback,9780590000000.0,G. P. Putnam's Sons,,"['Fiction', 'Romance', 'Fiction', 'Contemporary']",https://www.bookdepot.com/Store/Details/9780593422519B/the-fixer-upper,8.14,5.48,0.75,3.0,31
FLASH,"Krentz, Jayne Ann",Pocket Books,9781980000000.0,Pocket Books,,"['Fiction', 'Romance', 'Fiction', 'Suspense']",https://www.bookdepot.com/Store/Details/9781982138813B/flash,6.72,4.15,1.0,1.13,7
THE FLIGHT OF GEMMA HARDY,"Livesey, Margot",Paperback,9780060000000.0,Harper Collins,,"['Fiction', 'General', 'Fiction', 'Romance']",https://www.bookdepot.com/Store/Details/9780062064233B/the-flight-of-gemma-hardy,8.54,4.22,1.42,2.75,25
FLING,"Murray, Joseph",Paperback,9781450000000.0,Union Square & Co,,"['Fiction', 'Romance', 'Fiction', 'Contemporary', 'Fiction', 'Family Life']",https://www.bookdepot.com/Store/Details/9781454951957B/fling,8.27,5.5,1.01,3.25,82
THE FLIP SIDE,"Bailey, James",Paperback,9780060000000.0,William Morrow & Company,,"['Fiction', 'Romance', 'Fiction', 'Contemporary']",https://www.bookdepot.com/Store/Details/9780063019393B/the-flip-side,8.02,5.35,1.02,2.75,6
FLIRTING WITH FIRE,"Porter, Jane",Pocket Books,9780590000000.0,Berkley Publishing Group,,"['Fiction', 'Romance', 'Fiction', 'Contemporary']",https://www.bookdepot.com/Store/Details/9780593438428B/flirting-with-fire,6.8,4.18,0.89,1.13,129
"FLIRTING WITH THE BEAST (MODERN LOVE, BK. 2)","Porter, Jane",Pocket Books,9780590000000.0,Berkley Publishing Group,,"['Fiction', 'Romance', 'Fiction', 'Contemporary']",https://www.bookdepot.com/Store/Details/9780593438404B/flirting-with-the-beast-modern-love-bk-2,6.68,4.11,1.08,1.13,59
"FLIRTING WITH FIFTY (MODERN LOVE, BK. 1)","Porter, Jane",Pocket Books,9780590000000.0,Berkley Publishing Group,,"['Fiction', 'Romance', 'Fiction', 'Contemporary', 'Fiction', ""Women's Fiction""]",https://www.bookdepot.com/Store/Details/9780593438381B/flirting-with-fifty-modern-love-bk-1,6.7,4.14,1.04,1.5,23
FLIRTY LITTLE SECRET,"Lepe, Jessica",Paperback,9781540000000.0,Forever,,"['Fiction', 'Romance', 'Fiction', 'Humorous']",https://www.bookdepot.com/Store/Details/9781538739341B/flirty-little-secret,7.97,5.19,1.21,3.0,1000
FLYING ANGELS,"Steel, Danielle",Hardcover,9781980000000.0,Delacorte Press,,"['Fiction', 'Romance', 'Fiction', 'Historical']",https://www.bookdepot.com/Store/Details/9781984821553B/flying-angels,9.54,6.52,1.22,1.88,129
FLYING ANGELS,"Steel, Danielle",Pocket Books,9781980000000.0,Dell,,"['Fiction', 'Romance', 'Fiction', 'Action & Adventure', 'Fiction', 'Historical']",https://www.bookdepot.com/Store/Details/9781984821577B/flying-angels,6.53,4.12,1.08,2.0,6
FOR TWICE IN MY LIFE,"Christie, Annette",Paperback,9780320000000.0,Back Bay Books,,"['Fiction', 'Romance', 'Fiction', 'Contemporary']",https://www.bookdepot.com/Store/Details/9780316451130B/for-twice-in-my-life,8.21,5.48,0.89,1.5,56
FOR TWICE IN MY LIFE,"Christie, Annette",Hardcover,9780320000000.0,Little Brown and Company,,"['Fiction', 'Romance', 'Fiction', 'Contemporary']",https://www.bookdepot.com/Store/Details/9780316451031B/for-twice-in-my-life,9.5,6.28,1.11,3.75,66
"FOR A SCOT'S HEART ONLY (SCOTTISH TREASURES, BK. 3)","Conkle, Gina",Pocket Books,9780060000000.0,Avon Books,,"['Fiction', 'Romance', 'Fiction', 'Historical']",https://www.bookdepot.com/Store/Details/9780062999016B/for-a-scots-heart-only-scottish-treasures-bk,6.61,4.08,1.2,1.25,731
"FOR THE LOVE OF THE BARD (A BARD'S REST ROMANCE, BK. 1)","Martin, Jessica",Paperback,9780590000000.0,Berkley Publishing Group,,"['Fiction', 'Romance', 'Fiction', 'Contemporary']",https://www.bookdepot.com/Store/Details/9780593437438B/for-the-love-of-the-bard-a-bards-rest-romance,8.2,5.5,1.12,2.06,21
FORBIDDEN TO LOVE THE DUKE (FENWICK SISTERS AFFAIRS),"Hunter, Jillian",Pocket Books,9780450000000.0,Penguin Group,,"['Fiction', 'Romance', 'Fiction', 'Historical']",https://www.bookdepot.com/Store/Details/9780451470133B/forbidden-to-love-the-duke-fenwick-sisters-af,6.75,4.11,1.11,1.75,2
"THE FOREVER GIRL (THE WILDSTONE SERIES, BK. 6)","Shalvis, Jill",Paperback,9780060000000.0,William Morrow & Company,,"['Fiction', 'Romance', 'Fiction', 'Coming of Age']",https://www.bookdepot.com/Store/Details/9780062897855B/the-forever-girl-the-wildstone-series-bk-6,7.96,5.32,1.04,1.5,90
"THE FOREVER GIRL (WILDSTONE, BK. 6)","Shalvis, Jill",Paperback,9780060000000.0,Avon Books,,"['Fiction', 'Romance', 'Fiction', 'Coming of Age', 'Fiction', ""Women's Fiction""]",https://www.bookdepot.com/Store/Details/9780063111608B/the-forever-girl-wildstone-bk-6,6.97,4.73,1.18,1.0,15
FOREVER AN EX,"Murray, Victoria Christopher",Paperback,9781480000000.0,Touchstone Books,,"['Fiction', 'Contemporary', 'Fiction', 'Religious', 'Fiction', 'Romance']",https://www.bookdepot.com/Store/Details/9781476748856B/forever-an-ex,8.05,5.24,0.96,2.5,3
"FOREVER AND A DUKE (ROGUES TO RICHES, BK. 3)","Burrowes, Grace",Pocket Books,9781540000000.0,Forever,,"['Fiction', 'Romance', 'Fiction', 'Sagas', 'Fiction', 'Historical']",https://www.bookdepot.com/Store/Details/9781538700273B/forever-and-a-duke-rogues-to-riches-bk-3,6.71,4.17,1.37,1.5,605
FORGET ME NOT,"Soto, Julie",Paperback,9781540000000.0,Forever,,"['Fiction', 'Romance', 'Fiction', 'Contemporary']",https://www.bookdepot.com/Store/Details/9781538740880B/forget-me-not,8.0,5.5,1.0,3.0,11
"FORGET ME NOT COWBOY (RUSTLERS CREEK, BK. 2)","Fox, Addison",Pocket Books,9780060000000.0,Avon Books,,"['Fiction', 'Romance', 'Fiction', 'Contemporary']",https://www.bookdepot.com/Store/Details/9780063135239B/forget-me-not-cowboy-rustlers-creek-bk-2,6.44,4.08,1.1,1.13,332
FORGING ON,"Robinson, Catherine",Paperback,9781410000000.0,Orion Publishing,,"['Fiction', 'Humorous', 'Fiction', 'Family Life', 'Fiction', 'Romance']",https://www.bookdepot.com/Store/Details/9781409168447B/forging-on,7.75,5.09,1.04,1.75,11
"THE FORGIVEN (KEEPERS OF THE PROMISE, BK. 1)","Perry, Marta",Pocket Books,9780590000000.0,Berkley Publishing Group,,"['Fiction', 'Romance', 'Fiction', 'Religious']",https://www.bookdepot.com/Store/Details/9780593334850B/the-forgiven-keepers-of-the-promise-bk-1,6.58,4.19,1.1,1.0,6
FORGIVING PARIS,"Kingsbury, Karen",Hardcover,9781980000000.0,Atria Books,,"['Fiction', 'Romance', 'Fiction', ""Women's Fiction"", 'Fiction', 'Sagas']",https://www.bookdepot.com/Store/Details/9781982104412B/forgiving-paris,8.66,5.78,1.18,1.75,235
THE FORTUNATE ONES,"Hokin, Catherine",Paperback,9781540000000.0,Grand Central Publishing,,"['Fiction', 'Romance', 'Fiction', 'Historical', 'Fiction', 'War & Military']",https://www.bookdepot.com/Store/Details/9781538705018B/the-fortunate-ones,8.0,5.23,1.02,1.75,12
FOUR AUNTIES AND A WEDDING,"Sutanto, Jesse Q.",Hardcover,9780590000000.0,Berkley Hardcover,,"['Fiction', 'Mystery & Detective', 'Fiction', 'Romance']",https://www.bookdepot.com/Store/Details/9780593440766B/four-aunties-and-a-wedding,9.28,6.29,1.08,2.63,1000
FOUR AUNTIES AND A WEDDING,"Sutanto, Jesse Q.",Paperback,9780590000000.0,Berkley Publishing Group,,"['Fiction', 'Mystery & Detective', 'Fiction', 'Romance']",https://www.bookdepot.com/Store/Details/9780593333051B/four-aunties-and-a-wedding,8.19,5.51,1.03,2.75,677
FOUR WAYS TO WEAR A DRESS,"Libby, Gillian",Paperback,9781730000000.0,Sourcebooks,,"['Fiction', 'Romance', 'Fiction', 'Contemporary']",https://www.bookdepot.com/Store/Details/9781728247205B/four-ways-to-wear-a-dress,8.19,5.51,1.11,2.75,30
FOUR WEDDINGS AND A PUPPY,"Shane, Lizzie",Paperback,9781540000000.0,Forever,,"['Fiction', 'Romance']",https://www.bookdepot.com/Store/Details/9781538710340B/four-weddings-and-a-puppy,7.88,5.14,1.07,3.0,499
"FOUR WEEKS OF SCANDAL (HAZARDS OF DUKES, BK. 5)","Frampton, Megan",Pocket Books,9780060000000.0,Avon Books,,"['Fiction', 'Romance', 'Fiction', 'Historical']",https://www.bookdepot.com/Store/Details/9780063023123B/four-weeks-of-scandal-hazards-of-dukes-bk-5,6.54,4.05,1.01,1.69,18
FREEDOM'S LIGHT,"Coble, Colleen",Paperback,9780790000000.0,Thomas Nelson,,"['Fiction', 'Religious', 'Fiction', 'Romance', 'Fiction', 'Historical']",https://www.bookdepot.com/Store/Details/9780785219385B/freedoms-light,8.35,5.45,0.86,1.75,42
FREEFALL,"Heitzmann, Kristen",Paperback,9780760000000.0,Bethany House,,"['Fiction', 'Suspense', 'Fiction', 'Romance']",https://www.bookdepot.com/Store/Details/9780764228292B/freefall,8.37,5.47,1.26,2.5,1
FRIENDS DON'T FALL IN LOVE,"Hahn, Erin",Paperback,9781250000000.0,St. Martin's Griffin,,"['Fiction', 'Romance', 'Fiction', 'Humorous', 'Fiction', 'Contemporary']",https://www.bookdepot.com/Store/Details/9781250827111B/friends-dont-fall-in-love,8.26,5.36,0.94,3.0,48
"FRIENDS LIKE US (CRANBERRY COVE, BK. 2)","Mackenzie, Sarah",Pocket Books,9781540000000.0,Forever,,"['Fiction', 'Romance']",https://www.bookdepot.com/Store/Details/9781538718902B/friends-like-us-cranberry-cove-bk-2,6.97,4.73,0.89,1.13,445
"THE FRIENDSHIP PACT (THE SUNRISE COVE SERIES, BK. 2)","Shalvis, Jill",Hardcover,9780060000000.0,Avon Books,,"['Fiction', 'Romance', 'Fiction', ""Women's Fiction"", 'Fiction', 'Humorous']",https://www.bookdepot.com/Store/Details/9780063095540B/the-friendship-pact-the-sunrise-cove-series-b,9.26,6.24,1.39,3.37,17
"THE FRIENDSHIP PACT (THE SUNRISE COVE SERIES, BK. 2)","Shalvis, Jill",Paperback,9780060000000.0,Avon Books,,"['Fiction', 'Romance', 'Fiction', 'Humorous', 'Fiction', ""Women's Fiction""]",https://www.bookdepot.com/Store/Details/9780063095465B/the-friendship-pact-the-sunrise-cove-series-b,7.95,5.22,1.1,3.0,112
"FROM DEAD TO WORSE (TRUE BLOOD, BK. 8)","Harris, Charlaine",Paperback,9780580000000.0,Gollancz,,"['Fiction', 'Romance', 'Fiction', 'Fantasy', 'Fiction', 'Mystery & Detective']",https://www.bookdepot.com/Store/Details/9780575117099B/from-dead-to-worse-true-blood-bk-8,7.77,5.04,0.99,1.75,2
FROM THE JUMP,"Waldon, Lacie",Paperback,9780590000000.0,G. P. Putnam's Sons,,"['Fiction', 'Romance']",https://www.bookdepot.com/Store/Details/9780593328279B/from-the-jump,8.19,5.51,0.95,3.0,234
FULL EXPOSURE,"Lam, Thien-Kim",Paperback,9780060000000.0,Avon Books,,"['Fiction', 'Romance', 'Fiction', 'Contemporary']",https://www.bookdepot.com/Store/Details/9780063237292B/full-exposure,7.99,5.31,0.87,1.63,153
FUNNY FEELINGS,"Dewitt, Tarah",Paperback,9781250000000.0,St. Martin's Griffin,,"['Fiction', 'Romance', 'Fiction', 'Contemporary']",https://www.bookdepot.com/Store/Details/9781250329363B/funny-feelings,8.16,5.33,0.89,3.0,12
"GABRIEL'S PROMISE (GABRIEL'S INFERNO, BK. 4)","Reynard, Sylvain",Paperback,9780590000000.0,Berkley Publishing Group,,"['Fiction', 'Romance', 'Fiction', 'Contemporary', 'Fiction', 'Family Life']",https://www.bookdepot.com/Store/Details/9780593097984B/gabriels-promise-gabriels-inferno-bk-4,8.21,5.43,1.0,2.75,19
GAME ON,"Glass, Seressia",Paperback,9780590000000.0,Berkley Publishing Group,,"['Fiction', 'Romance', 'Fiction', 'Contemporary']",https://www.bookdepot.com/Store/Details/9780593199077B/game-on,7.89,5.11,0.97,3.0,138
"A GEM OF TRUTH (SECRETS OF THE CANYON, BK. 2)","Woodhouse, Kimberley",Paperback,9780760000000.0,Bethany House,,"['Fiction', 'Historical', 'Fiction', 'Religious', 'Fiction', 'Romance']",https://www.bookdepot.com/Store/Details/9780764238017B/a-gem-of-truth-secrets-of-the-canyon-bk-2,8.52,5.53,1.03,3.0,7
"A GENTLEMAN NEVER TELLS (BELMORE SQUARE, BK. 2)","Malpas, Jodi Ellen",Paperback,9781540000000.0,Forever,,"['Fiction', 'Romance', 'Fiction', 'Contemporary']",https://www.bookdepot.com/Store/Details/9781538726204B/a-gentleman-never-tells-belmore-square-bk-2,7.97,5.18,0.91,3.0,13
"THE GENTLEMAN'S GAMBIT (A LEAGUE OF EXTRAORDINARY WOMEN, BK. 4)","Dunmore, Evie",Paperback,9780590000000.0,Berkley Publishing Group,,"['Fiction', 'Romance', 'Fiction', 'Historical']",https://www.bookdepot.com/Store/Details/9780593334669B/the-gentlemans-gambit-a-league-of-extraordina,8.16,5.47,0.98,3.0,527
THE GETAWAY,"March, Emily",Paperback,9781540000000.0,Forever,,"['Fiction', 'Family Life', 'Fiction', 'Romance', 'Fiction', ""Women's Fiction""]",https://www.bookdepot.com/Store/Details/9781538707371B/the-getaway,8.0,5.5,1.0,1.38,53
"GHOSTLY GAME (GHOSTWALKER, BK. 19)","Feehan, Christine",Paperback,9780350000000.0,Piatkus Books,,"['Fiction', 'Fantasy', 'Fiction', 'Romance']",https://www.bookdepot.com/Store/Details/9780349438146B/ghostly-game-ghostwalker-bk-19,7.77,5.0,1.18,2.25,50
"GHOSTLY GAME (GHOSTWALKER, BK. 19)","Feehan, Christine",Pocket Books,9780590000000.0,Berkley Publishing Group,,"['Fiction', 'Romance', 'Fiction', 'Fantasy']",https://www.bookdepot.com/Store/Details/9780593638705B/ghostly-game-ghostwalker-bk-19,6.75,4.08,1.16,2.5,139
"THE GIFT OF FAITH (UNEXPECTED GIFTS, BK. 3)","McKanagh, Kristen",Pocket Books,9780590000000.0,Berkley Publishing Group,,"['Fiction', 'Romance', 'Fiction', 'Religious']",https://www.bookdepot.com/Store/Details/9780593199909B/the-gift-of-faith-unexpected-gifts-bk-3,6.73,4.16,0.92,1.13,30
THE GIRL FROM THE TRAIN,"Joubert, Irma",Paperback,9780530000000.0,Thomas Nelson,,"['Fiction', 'Historical', 'Fiction', 'Romance']",https://www.bookdepot.com/Store/Details/9780529102379B/the-girl-from-the-train,8.28,5.41,1.13,2.5,128
THE GIRL HE USED TO KNOW,"Graves, Tracey Garvis",Paperback,9781250000000.0,St. Martin's Griffin,,"['Fiction', 'Romance', 'Fiction', 'Contemporary']",https://www.bookdepot.com/Store/Details/9781250298874B/the-girl-he-used-to-know,8.25,5.36,0.74,2.0,22
THE GIRL HE USED TO KNOW,"Graves, Tracey Garvis",Hardcover,9781250000000.0,St. Martin's Press,,"['Fiction', 'Romance', 'Fiction', 'Contemporary']",https://www.bookdepot.com/Store/Details/9781250200358B/the-girl-he-used-to-know,9.62,6.43,1.02,1.75,9
THE GIRL WITH STARS IN HER EYES,"Axelrod, Xio",Paperback,9781490000000.0,Sourcebooks,,"['Fiction', 'Romance', 'Fiction', 'Humorous']",https://www.bookdepot.com/Store/Details/9781492698760B/the-girl-with-stars-in-her-eyes,8.26,5.58,1.4,2.5,80
"THE GIRL WITH THE MAKE-BELIEVE HUSBAND (BRIDGERTON PREQUEL, BK. 2)","Quinn, Julia",Paperback,9780060000000.0,Avon Books,,"['Fiction', 'Romance']",https://www.bookdepot.com/Store/Details/9780063270091B/the-girl-with-the-make-believe-husband-bridge,8.07,5.37,0.76,1.5,286
THE GIRL IN WHITE GLOVES: A NOVEL OF GRACE KELLY,"Maher, Kerri",Hardcover,9780450000000.0,Berkley Publishing Group,,"['Fiction', 'Historical', 'Fiction', 'Romance', 'Fiction', 'Biographical']",https://www.bookdepot.com/Store/Details/9780451492074B/the-girl-in-white-gloves-a-novel-of-grace-kel,9.29,6.24,1.4,1.75,12
THE GIRL IN THE PAINTING,"Cooper, Tea",Paperback,9780790000000.0,Thomas Nelson,,"['Fiction', 'Historical', 'Fiction', 'Romance', 'Fiction', 'Mystery & Detective']",https://www.bookdepot.com/Store/Details/9780785240334B/the-girl-in-the-painting,8.4,5.43,1.16,3.0,29
GIRLFRIEND ON MARS,"Willis, Deborah",Hardcover,9781800000000.0,Serpent's Tail,,"['Fiction', 'Science Fiction', 'Fiction', 'Romance', 'Fiction', 'Humorous']",https://www.bookdepot.com/Store/Details/9781800817579B/girlfriend-on-mars,8.58,5.48,1.47,1.75,53
GIRLS OF FLIGHT CITY,"Heath, Lorraine",Paperback,9780060000000.0,William Morrow & Company,,"['Fiction', 'Romance', 'Fiction', 'Historical', 'Fiction', 'War & Military']",https://www.bookdepot.com/Store/Details/9780063078536B/girls-of-flight-city,7.93,5.25,1.03,2.75,31
GIRLS OF SUMMER,"Thayer, Nancy",Pocket Books,9780590000000.0,Ballantine Books,,"['Fiction', 'Romance', 'Fiction', 'Sagas', 'Fiction', ""Women's Fiction""]",https://www.bookdepot.com/Store/Details/9780593499443B/girls-of-summer,6.87,4.09,1.21,1.12,83
"GIVE THE DEVIL HIS DUKE (DROP DEAD DUKES, BK. 1)","Bradley, Anna",Pocket Books,9781420000000.0,Zebra Books,,"['Fiction', 'Romance', 'Fiction', 'Contemporary']",https://www.bookdepot.com/Store/Details/9781420155396B/give-the-devil-his-duke-drop-dead-dukes-bk-1,6.69,4.06,1.12,1.69,6
